ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0050851	antigen receptor-mediated signaling pathway	69/1327	316/18670	2.32858227554496e-17	4.73329127932889e-15	4.73329127932889e-15	CD79B/FOXP3/CBFB/CEACAM1/PSEN1/PSMD8/CRKL/PSMC6/PSMC1/PSMB5/SLA2/PSMD10/PSMD7/CD79A/PSMD9/ITK/FOXP1/CCR7/IGLL1/NECTIN2/TEC/BLK/MS4A1/PSMC2/INPP5D/THEMIS/PAWR/CD3E/IGKC/IGLC2/IGLC3/IGLC7/TRBC2/TRAV8-4/TRAV19/TRAV29DV5/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGLL5/IGHV1OR15-1/IGHV3-30/IGHV1-69-2	69
BP	GO:0050871	positive regulation of B cell activation	43/1327	142/18670	1.06122211294837e-16	2.07724402478968e-14	2.07724402478968e-14	IL7/IGLL1/CD27/INPP5D/TNFRSF4/IGKC/IGLC2/IGLC3/IGLC7/TRBC2/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGLL5/IGHV1OR15-1/IGHV3-30/IGHV1-69-2	43
BP	GO:0050864	regulation of B cell activation	49/1327	184/18670	2.62168664746445e-16	4.94843354708915e-14	4.94843354708915e-14	HMGB3/FOXP3/SLA2/IL7/INHA/IGLL1/CD27/INPP5D/MZB1/PAWR/TNFRSF4/IGKC/IGLC2/IGLC3/IGLC7/TRBC2/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGLL5/IGHV1OR15-1/IGHV3-30/IGHV1-69-2	49
BP	GO:0006898	receptor-mediated endocytosis	63/1327	314/18670	3.87533118814447e-14	7.06245701011845e-12	7.06245701011845e-12	SELE/PICALM/CEACAM1/HSP90AA1/AP1S1/USP46/CALY/PPT1/FLOT1/ARRB1/ACKR3/ALB/RSPO1/GAK/AP2A2/CLEC9A/ATXN2/HBA1/IGKC/IGKV4-1/IGKV5-2/IGKV3D-20/IGKV3D-11/IGLV6-57/IGLV1-51/IGLV1-47/IGLV1-44/IGLV7-43/IGLV1-40/IGLV3-27/IGLV3-25/IGLV2-23/IGLV3-19/IGLV2-14/IGLV2-11/IGLC2/IGLC3/IGLC7/IGHA2/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-23/IGHV3-33/IGHV4-34/IGHV4-39/IGHV3-53/IGHV4-59/IGKV2D-30/IGKV3-20/IGKV1D-33/IGKV1-17/IGKV1-16/IGKV1-39/IGKV2D-28/IGKV2-30/IGKV1-5/IGKV3-15/IGKV1D-39/IGHV1OR15-1/IGHV3-30/IGKV1D-12	63
BP	GO:0042113	B cell activation	61/1327	310/18670	2.44254516065207e-13	4.30295039134873e-11	4.30295039134873e-11	CD79B/ERCC1/HMGB3/FOXP3/BCL3/SLA2/CD40LG/IL7/CD79A/JAK3/CR2/PTK2B/INHA/IGLL1/CD27/MS4A1/VCAM1/INPP5D/MZB1/RAG2/PAWR/ZBTB7A/TNFRSF4/IGKC/IGLC2/IGLC3/IGLC7/TRBC2/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGLL5/IGHV1OR15-1/IGHV3-30/IGHV1-69-2	61
BP	GO:0002440	production of molecular mediator of immune response	57/1327	286/18670	8.61452671031594e-13	1.46863786012967e-10	1.46863786012967e-10	ERCC1/FOXP3/CD40LG/JAK3/SPINK5/MZB1/TNFRSF4/IGKC/IGKV4-1/IGKV5-2/IGKV3D-20/IGKV3D-11/IGLV4-69/IGLV4-60/IGLV6-57/IGLV10-54/IGLV5-52/IGLV1-51/IGLV1-47/IGLV1-44/IGLV7-43/IGLV1-40/IGLV1-36/IGLV3-27/IGLV3-25/IGLV2-23/IGLV3-22/IGLV3-19/IGLV2-18/IGLV3-16/IGLV2-14/IGLV2-11/TRAV19/TRDV1/TRAV38-1/IGLV9-49/IGKV3D-15/IGKV3D-7/IGKV2D-30/IGKV1D-8/IGKV1-6/IGKV3-20/IGKV1D-33/IGKV1-17/IGKV1-16/IGKV2-24/IGKV1-9/IGKV1-39/IGKV2D-28/IGKV1D-43/IGKV1D-17/IGKV2-30/IGKV1-5/IGKV3-15/IGKV1D-39/IGKV1-13/IGKV1D-12	57
BP	GO:0008037	cell recognition	47/1327	215/18670	2.88222149853044e-12	4.76016894366668e-10	4.76016894366668e-10	NRP1/CD5/PCDHB6/CCR7/IGLL1/ATP8B3/CCT5/ROBO1/PCDHA7/IGKC/IGLC2/IGLC3/IGLC7/TRBC2/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGLL5/IGHV1OR15-1/IGHV3-30/IGHV1-69-2	47
BP	GO:0051251	positive regulation of lymphocyte activation	61/1327	334/18670	7.03491645053052e-12	1.12665252851678e-09	1.12665252851678e-09	FOXP3/CBFB/CD40LG/CORO1A/IL7/JAK3/VSIR/CD5/IFNG/CCR7/IGLL1/CD27/AKT1/FAM49B/VCAM1/FADD/INPP5D/RASGRP1/LAMP1/BTLA/TNFRSF4/CD3E/IGKC/IGLC2/IGLC3/IGLC7/TRBC2/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGLL5/KLRC4-KLRK1/IGHV1OR15-1/IGHV3-30/IGHV1-69-2	61
BP	GO:0002697	regulation of immune effector process	74/1327	462/18670	3.10339777964182e-11	4.82395801923736e-09	4.82395801923736e-09	BIRC3/FOXP3/CEACAM1/P2RX7/ICAM1/CD40LG/NOP53/JAK3/IFNG/ULBP1/CR2/NECTIN2/SPINK5/CFHR5/FAM49B/PGLYRP2/CRK/FADD/MZB1/RASGRP1/IFNLR1/LAMP1/TNFRSF4/IGKC/IGKV4-1/IGKV5-2/IGKV3D-20/IGKV3D-11/IGLV6-57/IGLV1-51/IGLV1-47/IGLV1-44/IGLV7-43/IGLV1-40/IGLV3-27/IGLV3-25/IGLV2-23/IGLV3-19/IGLV2-14/IGLV2-11/IGLC2/IGLC3/IGLC7/IGHG4/IGHG2/IGHG1/IGHG3/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-23/IGHV3-33/IGHV4-34/IGHV4-39/IGHV3-53/USP17L2/IGHV4-59/IGKV2D-30/IGKV3-20/IGKV1D-33/IGKV1-17/IGKV1-16/IGKV1-39/IGKV2D-28/IGKV2-30/IGKV1-5/CFHR1/IGKV3-15/IGKV1D-39/KLRC4-KLRK1/IGHV1OR15-1/IGHV3-30/IGKV1D-12	74
BP	GO:0051249	regulation of lymphocyte activation	75/1327	485/18670	1.24337206771893e-10	1.87749182225559e-08	1.87749182225559e-08	HMGB3/FOXP3/PRDM1/CBFB/CEACAM1/SLA2/CD40LG/CORO1A/IL7/CLPTM1/JAK3/VSIR/CD5/IFNG/INHA/CCR7/IGLL1/SPINK5/CD27/AKT1/ZC3H8/FAM49B/PGLYRP2/VCAM1/FADD/INPP5D/PRELID1/MZB1/RASGRP1/PAWR/LAMP1/BTLA/TNFRSF4/CD3E/HLA-DOA/MIR27A/IGKC/IGLC2/IGLC3/IGLC7/TRBC2/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGLL5/KLRC4-KLRK1/IGHV1OR15-1/IGHV3-30/IGHV1-69-2	75
BP	GO:0002696	positive regulation of leukocyte activation	63/1327	380/18670	2.20537692347344e-10	3.2376158445992e-08	3.2376158445992e-08	FOXP3/CBFB/CD40LG/CORO1A/IL7/JAK3/VSIR/CD5/IFNG/CCR7/IGLL1/NECTIN2/CD27/AKT1/TTBK1/FAM49B/VCAM1/FADD/INPP5D/RASGRP1/LAMP1/BTLA/TNFRSF4/CD3E/IGKC/IGLC2/IGLC3/IGLC7/TRBC2/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGLL5/KLRC4-KLRK1/IGHV1OR15-1/IGHV3-30/IGHV1-69-2	63
BP	GO:0050867	positive regulation of cell activation	64/1327	394/18670	3.78136826412951e-10	5.40122466916878e-08	5.40122466916878e-08	FOXP3/CBFB/CD40LG/CORO1A/IL7/JAK3/VSIR/CD5/IFNG/CCR7/IGLL1/NECTIN2/CD27/AKT1/TTBK1/FAM49B/VCAM1/FADD/INPP5D/RASGRP1/SELP/LAMP1/BTLA/TNFRSF4/CD3E/IGKC/IGLC2/IGLC3/IGLC7/TRBC2/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGLL5/KLRC4-KLRK1/IGHV1OR15-1/IGHV3-30/IGHV1-69-2	64
BP	GO:0050900	leukocyte migration	75/1327	499/18670	4.73343777597195e-10	6.58321543316098e-08	6.58321543316098e-08	SELE/CEACAM1/ICAM1/CRKL/BDKRB1/CORO1A/TNFRSF10A/CEACAM5/GRB14/EPCAM/DUSP1/TNFRSF10B/PTK2B/CCR7/IGLL1/ITGB7/AKT1/CXCL13/AIRE/VCAM1/IL17RC/CRK/FADD/INPP5D/CYP7B1/SELP/SPNS2/CXCR3/IGKC/IGKV4-1/IGKV5-2/IGKV3D-20/IGKV3D-11/IGLV6-57/IGLV1-51/IGLV1-47/IGLV1-44/IGLV7-43/IGLV1-40/IGLV3-27/IGLV3-25/IGLV2-23/IGLV3-19/IGLV2-14/IGLV2-11/IGLC2/IGLC3/IGLC7/IGHA2/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-23/IGHV3-33/IGHV4-34/IGHV4-39/IGHV3-53/IGHV4-59/PSG1/IGKV2D-30/IGKV3-20/IGKV1D-33/IGKV1-17/IGKV1-16/IGKV1-39/IGKV2D-28/IGKV2-30/IGKV1-5/IGKV3-15/IGKV1D-39/KLRC4-KLRK1/IGHV1OR15-1/IGHV3-30/IGKV1D-12	75
BP	GO:0042742	defense response to bacterium	53/1327	330/18670	1.82418278728501e-08	2.4720015463593e-06	2.4720015463593e-06	BCL3/P2RX7/FOXP1/DEFB126/IGLL1/BPIFA2/SPINK5/CXCL13/PGLYRP2/MYD88/SELP/RAG2/IGKC/IGLC2/IGLC3/IGLC7/TRBC2/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGKV3-20/IGLL5/KLRC4-KLRK1/IGHV1OR15-1/IGHV3-30/H2BC6/IGHV1-69-2	53
BP	GO:0090630	activation of GTPase activity	19/1327	97/18670	4.50951349270521e-05	0.00595819470223676	0.00595819470223676	TBC1D2/CRKL/EIF5/AKT2/PTK2B/CCR7/TBC1D4/SGSM2/PIP5K1A/TBCK/EPHA1/CXCL13/TIAM1/ARHGAP42/CRK/RASGRP1/RHOG/SIPA1L1/TBC1D26	19
BP	GO:0006835	dicarboxylic acid transport	16/1327	96/18670	0.00114494934712234	0.147586763403453	0.147586763403453	ABCC2/PSEN1/P2RX7/SLC38A7/STX1A/SLC25A11/PPFIA1/PER2/SLC38A2/SLC26A10/PPFIA4/SLC26A7/SLC25A22/CLN8/SLC26A6/SLC25A10	16
BP	GO:0046040	IMP metabolic process	5/1327	13/18670	0.00142944065408716	0.179871282305967	0.179871282305967	PAICS/AMPD3/HPRT1/ADSS1/ADSL	5
BP	GO:0060071	Wnt signaling pathway, planar cell polarity pathway	17/1327	108/18670	0.00156317818874896	0.192125505291588	0.192125505291588	DVL2/PSMD8/PSMC6/PSMC1/PSMB5/PSMD10/PSMD7/SMURF2/PSMD9/PTK7/NPHP3/TIAM1/PSMC2/FZD6/AP2A2/ROR1/SMURF1	17
BP	GO:0090175	regulation of establishment of planar polarity	17/1327	110/18670	0.0019161201604426	0.230152160180435	0.230152160180435	DVL2/PSMD8/PSMC6/PSMC1/PSMB5/PSMD10/PSMD7/SMURF2/PSMD9/PTK7/NPHP3/TIAM1/PSMC2/FZD6/AP2A2/ROR1/SMURF1	17
BP	GO:1904031	positive regulation of cyclin-dependent protein kinase activity	8/1327	35/18670	0.00266113629807381	0.312535674118224	0.312535674118224	MNAT1/CCNK/PSMD10/CCND2/PSRC1/AKT1/TTBK1/CDK5R2	8
BP	GO:0001736	establishment of planar polarity	18/1327	124/18670	0.00291549487313842	0.323792074962702	0.323792074962702	DVL2/PSMD8/PSMC6/PSMC1/PSMB5/PSMD10/PSMD7/SMURF2/PSMD9/PTK7/NPHP3/TIAM1/PSMC2/INTU/FZD6/AP2A2/ROR1/SMURF1	18
BP	GO:0007164	establishment of tissue polarity	18/1327	124/18670	0.00291549487313842	0.323792074962702	0.323792074962702	DVL2/PSMD8/PSMC6/PSMC1/PSMB5/PSMD10/PSMD7/SMURF2/PSMD9/PTK7/NPHP3/TIAM1/PSMC2/INTU/FZD6/AP2A2/ROR1/SMURF1	18
BP	GO:0098656	anion transmembrane transport	34/1327	291/18670	0.00294077948878139	0.323792074962702	0.323792074962702	PACC1/SLC12A3/PSEN1/ABCB1/SLC25A1/SLC25A17/SLC32A1/GABRE/SLC38A7/AKT2/SLC25A11/GABRR2/SLC4A3/SLC36A1/PRKAB2/PER2/SLC38A2/SLC26A10/SLC9A5/SLC38A6/AKT1/GABRR1/SLC26A7/SLC5A12/SLC24A2/SLC6A20/TTYH1/CLIC3/SLC25A22/CLN8/ANO9/GABRD/SLC26A6/SLC25A10	34
BP	GO:0006188	IMP biosynthetic process	4/1327	10/18670	0.00376854268484953	0.398334961788595	0.398334961788595	PAICS/AMPD3/HPRT1/ADSL	4
BP	GO:2001225	regulation of chloride transport	4/1327	10/18670	0.00376854268484953	0.398334961788595	0.398334961788595	ABCB1/GABRE/PRKG2/ANO9	4
BP	GO:0043029	T cell homeostasis	8/1327	37/18670	0.00384709770195254	0.398664928525866	0.398664928525866	FOXP3/P2RX7/CORO1A/JAK3/AKT1/ZC3H8/FADD/SPNS2	8
BP	GO:0045737	positive regulation of cyclin-dependent protein serine/threonine kinase activity	7/1327	31/18670	0.00522803712981905	0.531349542905648	0.531349542905648	MNAT1/CCNK/PSMD10/CCND2/PSRC1/AKT1/CDK5R2	7
BP	GO:0000963	mitochondrial RNA processing	5/1327	17/18670	0.00541207827592324	0.539676107325553	0.539676107325553	TRIT1/PRORP/TRMT5/SUPV3L1/TRMT10C	5
BP	GO:0072683	T cell extravasation	4/1327	11/18670	0.00559132715496748	0.547225259518577	0.547225259518577	ICAM1/CRKL/CRK/FADD	4
BP	GO:0014072	response to isoquinoline alkaloid	7/1327	33/18670	0.00750269433283013	0.703714004509106	0.703714004509106	OPRK1/FOSB/SRR/FADD/PENK/ATG7/PPP2R2A	7
BP	GO:0043278	response to morphine	7/1327	33/18670	0.00750269433283013	0.703714004509106	0.703714004509106	OPRK1/FOSB/SRR/FADD/PENK/ATG7/PPP2R2A	7
BP	GO:0015711	organic anion transport	50/1327	495/18670	0.00758972530880209	0.703714004509106	0.703714004509106	ABCC2/CA12/CEACAM1/PSEN1/ABCB1/P2RX7/SLC25A1/SLC25A17/SLC32A1/SLC38A7/AKT2/STX1A/CA9/SLC25A11/SLC4A3/CA14/NPC2/ABCC11/SLC66A2/SLC36A1/ATP8B3/PPFIA1/PRKAB2/PER2/SLC52A1/SLC38A2/SLC26A10/SLC38A6/PRELID3A/AKT1/PPFIA4/SFXN5/NFKBIE/SLC26A7/SLC25A25/SLC5A12/PITPNC1/LCN1/SLC6A20/MFSD2A/PRELID1/XKR6/SLC25A22/TMEM30B/CLN8/ANO9/AKR1C1/HBA1/SLC26A6/SLC25A10	50
BP	GO:0043383	negative T cell selection	4/1327	12/18670	0.0079199467709277	0.721671011799188	0.721671011799188	CCR7/AIRE/THEMIS/CD3E	4
BP	GO:1903959	regulation of anion transmembrane transport	6/1327	26/18670	0.00854692555493692	0.756304294907686	0.756304294907686	PSEN1/ABCB1/AKT2/PER2/AKT1/ANO9	6
BP	GO:0015701	bicarbonate transport	8/1327	42/18670	0.00858623608220646	0.756304294907686	0.756304294907686	CA12/CA9/SLC4A3/CA14/SLC26A10/SLC26A7/HBA1/SLC26A6	8
BP	GO:0009127	purine nucleoside monophosphate biosynthetic process	5/1327	19/18670	0.00903143552941023	0.758067081253346	0.758067081253346	PAICS/AMPD3/HPRT1/ADSS1/ADSL	5
BP	GO:0009168	purine ribonucleoside monophosphate biosynthetic process	5/1327	19/18670	0.00903143552941023	0.758067081253346	0.758067081253346	PAICS/AMPD3/HPRT1/ADSS1/ADSL	5
BP	GO:0070227	lymphocyte apoptotic process	11/1327	69/18670	0.00903656123348359	0.758067081253346	0.758067081253346	P2RX7/CRKL/JAK3/FOXP1/CD27/AKT1/ZC3H8/FADD/PRELID1/EFNA1/AURKB	11
BP	GO:0009410	response to xenobiotic stimulus	32/1327	292/18670	0.00974768226552375	0.804945324582704	0.804945324582704	GCLC/ABCC2/CYP46A1/ACAA1/OPRK1/DNMT3B/ICAM1/CYB5R3/GSS/BCHE/EGR1/PTK2B/FOSB/CYP2G1P/AOC2/BPHL/MGST3/GSTO1/TIAM1/HPRT1/HTR3A/SRR/FADD/SULT1B1/NQO1/PENK/HSF1/AKR1C1/ATG7/CYP2A7/PPP2R2A/UGT1A1	32
BP	GO:0008033	tRNA processing	17/1327	130/18670	0.010674688257997	0.856533052277976	0.856533052277976	TRIT1/CPSF1/RTRAF/AARS1/TRMU/ALKBH1/PRORP/PTCD1/TRMT5/ELP3/THUMPD2/CPSF4/DUS2/ELP5/TRMT10C/TRMT12/TSEN15	17
BP	GO:0090646	mitochondrial tRNA processing	4/1327	13/18670	0.0108046161561902	0.856533052277976	0.856533052277976	TRIT1/PRORP/TRMT5/TRMT10C	4
BP	GO:0001738	morphogenesis of a polarized epithelium	18/1327	141/18670	0.0111509230092823	0.856533052277976	0.856533052277976	DVL2/PSMD8/PSMC6/PSMC1/PSMB5/PSMD10/PSMD7/SMURF2/PSMD9/PTK7/NPHP3/TIAM1/PSMC2/INTU/FZD6/AP2A2/ROR1/SMURF1	18
BP	GO:0070262	peptidyl-serine dephosphorylation	5/1327	20/18670	0.0113500582323325	0.856533052277976	0.856533052277976	PPP1R16B/PPP2CB/YWHAE/DUSP1/PPP2R2A	5
BP	GO:0030098	lymphocyte differentiation	37/1327	353/18670	0.0114666020472271	0.856533052277976	0.856533052277976	CD79B/HMGB3/FOXP3/PRDM1/CBFB/BCL3/CD40LG/IL7/CLPTM1/CD79A/JAK3/VSIR/IFNG/ITK/FOXP1/CR2/EGR1/PTK2B/INHA/CCR7/SPINK5/CD27/ZC3H8/MS4A1/AIRE/PGLYRP2/VCAM1/FADD/STAT3/INPP5D/PRELID1/RASGRP1/THEMIS/RAG2/ZBTB7A/CD3E/HLA-DOA	37
BP	GO:0006521	regulation of cellular amino acid metabolic process	10/1327	62/18670	0.0115418009568076	0.856533052277976	0.856533052277976	COMT/PSMD8/PSMC6/PSMC1/PSMB5/PSMD10/PSMD7/PSMD9/PSMC2/NQO1	10
BP	GO:0070228	regulation of lymphocyte apoptotic process	9/1327	53/18670	0.0116676460799862	0.856533052277976	0.856533052277976	P2RX7/JAK3/FOXP1/CD27/ZC3H8/FADD/PRELID1/EFNA1/AURKB	9
BP	GO:0031145	anaphase-promoting complex-dependent catabolic process	12/1327	81/18670	0.0116689460291418	0.856533052277976	0.856533052277976	CDC27/UBE2D1/PSMD8/PSMC6/PSMC1/PSMB5/PSMD10/PSMD7/PSMD9/PSMC2/CDC26/AURKB	12
BP	GO:0034698	response to gonadotropin	6/1327	28/18670	0.0123884216483435	0.896887786458843	0.896887786458843	GCLC/ASNS/ICAM1/PAX8/CTSV/WT1	6
BP	GO:0035601	protein deacylation	14/1327	103/18670	0.014132956389122	0.998154387509398	0.998154387509398	FOXP3/BRMS1L/IFNG/SIRT5/PPT1/PER2/PRDM5/CAMK2D/CCAR2/UCN/MTA1/SPRED3/USP17L2/MSL3P1	14
BP	GO:0006476	protein deacetylation	13/1327	93/18670	0.0141855605743081	0.998154387509398	0.998154387509398	FOXP3/BRMS1L/IFNG/SIRT5/PER2/PRDM5/CAMK2D/CCAR2/UCN/MTA1/SPRED3/USP17L2/MSL3P1	13
BP	GO:0070229	negative regulation of lymphocyte apoptotic process	6/1327	29/18670	0.014703456222821	0.998154387509398	0.998154387509398	JAK3/FOXP1/CD27/FADD/EFNA1/AURKB	6
BP	GO:1900027	regulation of ruffle assembly	6/1327	29/18670	0.014703456222821	0.998154387509398	0.998154387509398	ICAM1/EPS8L1/CARMIL2/RHOG/EPS8L2/USP17L2	6
BP	GO:0033628	regulation of cell adhesion mediated by integrin	8/1327	46/18670	0.0147781850292091	0.998154387509398	0.998154387509398	TESC/CRKL/HRG/CXCL13/CRK/EFNA1/PTK2/CD3E	8
BP	GO:1903825	organic acid transmembrane transport	17/1327	135/18670	0.0151908935601105	0.998154387509398	0.998154387509398	PSEN1/SLC25A1/SLC32A1/SLC38A7/AKT2/SLC25A11/SLC36A1/PRKAB2/PER2/SLC38A2/SLC38A6/AKT1/SLC5A12/SLC6A20/SLC25A22/CLN8/SLC25A10	17
BP	GO:1905039	carboxylic acid transmembrane transport	17/1327	135/18670	0.0151908935601105	0.998154387509398	0.998154387509398	PSEN1/SLC25A1/SLC32A1/SLC38A7/AKT2/SLC25A11/SLC36A1/PRKAB2/PER2/SLC38A2/SLC38A6/AKT1/SLC5A12/SLC6A20/SLC25A22/CLN8/SLC25A10	17
BP	GO:0098732	macromolecule deacylation	14/1327	104/18670	0.015298108871951	0.998154387509398	0.998154387509398	FOXP3/BRMS1L/IFNG/SIRT5/PPT1/PER2/PRDM5/CAMK2D/CCAR2/UCN/MTA1/SPRED3/USP17L2/MSL3P1	14
BP	GO:0050852	T cell receptor signaling pathway	23/1327	202/18670	0.0170294940304187	0.999954174444838	0.999954174444838	FOXP3/CEACAM1/PSEN1/PSMD8/CRKL/PSMC6/PSMC1/PSMB5/PSMD10/PSMD7/PSMD9/ITK/CCR7/NECTIN2/TEC/PSMC2/INPP5D/THEMIS/PAWR/CD3E/TRAV8-4/TRAV19/TRAV29DV5	23
BP	GO:0010565	regulation of cellular ketone metabolic process	21/1327	180/18670	0.0171168463895091	0.999954174444838	0.999954174444838	MLXIPL/DGAT2/CEACAM1/COMT/PSMD8/PSMC6/PSMC1/PSMB5/PSMD10/PSMD7/AKT2/PSMD9/EGR1/SIRT5/INSIG2/PRKAB2/AKT1/PSMC2/FGF19/PDP2/NQO1	21
BP	GO:0006312	mitotic recombination	5/1327	22/18670	0.0171335292551641	0.999954174444838	0.999954174444838	ERCC1/MRE11/XRCC3/TERF2/ZSCAN4	5
BP	GO:0050869	negative regulation of B cell activation	6/1327	30/18670	0.0173025558018594	0.999954174444838	0.999954174444838	HMGB3/FOXP3/SLA2/INHA/INPP5D/PAWR	6
BP	GO:0015800	acidic amino acid transport	10/1327	66/18670	0.0175504649494406	0.999954174444838	0.999954174444838	PSEN1/P2RX7/SLC38A7/STX1A/PPFIA1/PER2/SLC38A2/PPFIA4/SLC25A22/CLN8	10
BP	GO:0006400	tRNA modification	12/1327	86/18670	0.0182585191399966	0.999954174444838	0.999954174444838	TRIT1/AARS1/TRMU/ALKBH1/PRORP/TRMT5/ELP3/THUMPD2/DUS2/ELP5/TRMT10C/TRMT12	12
BP	GO:0072659	protein localization to plasma membrane	28/1327	260/18670	0.0183984266303881	0.999954174444838	0.999954174444838	PPP2R5A/PICALM/EPB41L3/TESC/VTI1B/ANXA13/AKT2/RANGRF/IFNG/BBS2/CRB3/PPFIA1/FLOT1/PRKG2/RAB15/AKT1/PIP5K1A/TTC7B/TSPAN5/PTPN9/STX8/RHOG/GAK/PACS2/PKP3/NHLRC1/RILPL1/SMURF1	28
BP	GO:0001325	formation of extrachromosomal circular DNA	4/1327	15/18670	0.0184086648695569	0.999954174444838	0.999954174444838	ERCC1/XRCC3/TERF2/SLX1B	4
BP	GO:0006388	tRNA splicing, via endonucleolytic cleavage and ligation	4/1327	15/18670	0.0184086648695569	0.999954174444838	0.999954174444838	CPSF1/RTRAF/CPSF4/TSEN15	4
BP	GO:0032274	gonadotropin secretion	4/1327	15/18670	0.0184086648695569	0.999954174444838	0.999954174444838	OPRK1/INHA/NIBAN2/INHBB	4
BP	GO:0090656	t-circle formation	4/1327	15/18670	0.0184086648695569	0.999954174444838	0.999954174444838	ERCC1/XRCC3/TERF2/SLX1B	4
